Id,Year,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED
157,2019,5,6,WN,19393,WN,N7855A,3334,10821,1082106,BWI,11697,1169706,FLL,1715,0,1700-1759,2008,0,0
158,2019,5,6,WN,19393,WN,N243WN,3591,10821,1082106,BWI,11697,1169706,FLL,1553,0,1600-1659,1838,0,0
159,2019,5,6,WN,19393,WN,N8537Z,3843,10821,1082106,BWI,11697,1169706,FLL,841,0,0800-0859,1124,0,0
160,2019,5,6,WN,19393,WN,N926WN,4368,10821,1082106,BWI,11697,1169706,FLL,1145,0,1100-1159,1418,0,0
161,2019,5,6,WN,19393,WN,N443WN,4684,10821,1082106,BWI,11697,1169706,FLL,910,0,0900-0959,1150,0,0
162,2019,5,6,WN,19393,WN,N918WN,2729,10821,1082106,BWI,11986,1198603,GRR,1101,0,1100-1159,1237,0,0
163,2019,5,6,WN,19393,WN,N229WN,2672,10821,1082106,BWI,12191,1219102,HOU,650,0,0600-0659,857,0,0
164,2019,5,6,WN,19393,WN,N8303R,4105,10821,1082106,BWI,12191,1219102,HOU,1908,0,1900-1959,2113,0,0
165,2019,5,6,WN,19393,WN,N278WN,3645,10821,1082106,BWI,12339,1233904,IND,1833,0,1800-1859,2010,0,0
166,2019,5,6,WN,19393,WN,N564WN,3941,10821,1082106,BWI,12339,1233904,IND,1131,0,1100-1159,1307,0,0
167,2019,5,6,WN,19393,WN,N488WN,2580,10821,1082106,BWI,12391,1239103,ISP,1446,0,1400-1459,1544,0,0
168,2019,5,6,WN,19393,WN,N8692F,3245,10821,1082106,BWI,12391,1239103,ISP,1635,0,1600-1659,1735,0,0
169,2019,5,6,WN,19393,WN,N7743B,3648,10821,1082106,BWI,12391,1239103,ISP,1951,0,1900-1959,2054,0,0
170,2019,5,6,WN,19393,WN,N7839A,3932,10821,1082106,BWI,12391,1239103,ISP,1124,0,1100-1159,1230,1,0
171,2019,5,6,WN,19393,WN,N246LV,2578,10821,1082106,BWI,12451,1245102,JAX,1900,0,1900-1959,2046,0,0
172,2019,5,6,WN,19393,WN,N7704B,2665,10821,1082106,BWI,12451,1245102,JAX,838,0,0800-0859,1025,0,0
173,2019,5,6,WN,19393,WN,N8624J,2708,10821,1082106,BWI,12889,1288903,LAS,1421,1,1400-1459,1641,0,0
174,2019,5,6,WN,19393,WN,N8704Q,3304,10821,1082106,BWI,12889,1288903,LAS,1613,0,1600-1659,1838,0,0
175,2019,5,6,WN,19393,WN,N8579Z,3979,10821,1082106,BWI,12889,1288903,LAS,1915,0,1900-1959,2136,0,0
176,2019,5,6,WN,19393,WN,N8622A,4001,10821,1082106,BWI,12889,1288903,LAS,1113,0,1100-1159,1323,0,0
177,2019,5,6,WN,19393,WN,N763SW,4625,10821,1082106,BWI,12892,1289208,LAX,830,0,0800-0859,1117,0,0
178,2019,5,6,WN,19393,WN,N8531Q,4724,10821,1082106,BWI,12892,1289208,LAX,1417,1,1400-1459,1715,0,0
179,2019,5,6,WN,19393,WN,N550WN,359,10821,1082106,BWI,13198,1319801,MCI,1855,0,1800-1859,2026,0,0
180,2019,5,6,WN,19393,WN,N201LV,1141,10821,1082106,BWI,13204,1320402,MCO,1500,0,1500-1559,1709,0,0
181,2019,5,6,WN,19393,WN,N8561Z,1575,10821,1082106,BWI,13204,1320402,MCO,1045,0,1000-1059,1253,0,0
182,2019,5,6,WN,19393,WN,N8581Z,2654,10821,1082106,BWI,13204,1320402,MCO,1256,0,1300-1359,1501,0,0
183,2019,5,6,WN,19393,WN,N8713M,2680,10821,1082106,BWI,13204,1320402,MCO,851,0,0800-0859,1110,0,0
184,2019,5,6,WN,19393,WN,N7819A,2711,10821,1082106,BWI,13204,1320402,MCO,656,0,0700-0759,910,0,0
185,2019,5,6,WN,19393,WN,N8558Z,2938,10821,1082106,BWI,13204,1320402,MCO,1540,0,1500-1559,1747,0,0
186,2019,5,6,WN,19393,WN,N759GS,3228,10821,1082106,BWI,13204,1320402,MCO,1720,0,1700-1759,1930,0,0
187,2019,5,6,WN,19393,WN,N8301J,3834,10821,1082106,BWI,13204,1320402,MCO,1629,0,1600-1659,1841,0,0
188,2019,5,6,WN,19393,WN,N8312C,4177,10821,1082106,BWI,13204,1320402,MCO,2005,0,2000-2059,2212,0,0
189,2019,5,6,WN,19393,WN,N8302F,4556,10821,1082106,BWI,13204,1320402,MCO,1831,0,1800-1859,2042,0,0
190,2019,5,6,WN,19393,WN,N8574Z,2721,10821,1082106,BWI,13232,1323202,MDW,657,0,0600-0659,748,0,0
191,2019,5,6,WN,19393,WN,N8649A,2877,10821,1082106,BWI,13232,1323202,MDW,1412,0,1400-1459,1500,0,0
192,2019,5,6,WN,19393,WN,N8544Z,3128,10821,1082106,BWI,13232,1323202,MDW,1055,1,1000-1059,1145,0,0
193,2019,5,6,WN,19393,WN,N249WN,4699,10821,1082106,BWI,13232,1323202,MDW,1804,0,1800-1859,1900,0,0
194,2019,5,6,WN,19393,WN,N7849A,2532,10821,1082106,BWI,13244,1324402,MEM,1934,0,1900-1959,2041,0,0
195,2019,5,6,WN,19393,WN,N8673F,227,10821,1082106,BWI,13296,1329604,MHT,1119,0,1100-1159,1234,0,0
196,2019,5,6,WN,19393,WN,N8624J,2742,10821,1082106,BWI,13296,1329604,MHT,849,0,0800-0859,1008,0,0
197,2019,5,6,WN,19393,WN,N8730Q,4017,10821,1082106,BWI,13296,1329604,MHT,1635,0,1600-1659,1754,0,0
198,2019,5,6,WN,19393,WN,N8699A,4212,10821,1082106,BWI,13296,1329604,MHT,2129,0,2100-2159,2242,0,0
199,2019,5,6,WN,19393,WN,N570WN,2572,10821,1082106,BWI,13342,1334207,MKE,819,0,0800-0859,908,0,0
